airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class_,duration,days_left,price
5,1097,3,1,0,5,0,1,13.58,18,6461
5,1031,4,4,1,2,1,1,33.67,17,19040
3,302,1,4,1,5,3,1,14.17,4,8906
1,548,5,2,1,4,1,1,14.33,33,6983
5,1050,0,2,0,2,3,0,22.17,7,56588
3,323,0,1,2,1,3,1,1.33,28,1714
1,614,2,4,0,0,3,1,25.42,39,5399
1,533,0,2,0,4,1,0,15.75,48,43865
5,1102,0,5,0,0,2,1,15.0,38,4111
5,1102,0,5,0,5,1,1,25.42,35,4672
5,1079,1,4,0,2,5,1,8.33,22,5037
1,586,1,1,0,5,2,1,13.92,11,14178
3,169,2,1,2,4,1,1,2.92,16,3264
5,1079,1,4,0,5,3,1,12.17,43,4086
5,1141,2,2,0,4,1,0,16.83,1,83113
0,840,0,5,0,3,2,1,5.58,13,7484
5,1045,4,5,0,2,0,1,21.17,42,6195
0,829,3,0,0,3,5,1,10.25,31,2250
5,1108,5,2,0,0,2,1,17.33,31,5232
5,1124,5,1,0,2,0,0,9.58,46,69168
1,589,4,5,0,0,5,1,19.33,43,6179
1,516,3,2,0,4,0,1,16.67,39,5894
0,858,3,1,2,4,1,1,1.25,13,4454
5,1081,1,5,0,0,5,0,15.5,18,61873
5,1116,3,2,2,2,0,1,1.0,11,4453
4,1005,2,2,0,4,0,1,13.5,41,6427
0,847,4,4,0,5,5,1,10.75,20,3727
1,515,2,5,0,4,5,1,11.42,22,4590
1,558,5,0,0,5,0,1,9.08,44,4200
5,1060,0,4,0,5,5,1,12.33,8,11919
5,1047,4,2,0,3,2,0,7.33,36,53743
0,860,0,1,2,1,1,1,0.92,31,1603
5,1119,2,0,0,5,5,1,8.25,41,5227
3,448,2,0,0,2,1,1,5.33,48,4729
5,1141,2,2,2,5,5,0,2.25,22,36712
2,741,5,1,0,5,4,1,16.42,24,5228
1,551,5,0,0,2,2,1,26.17,27,4095
1,589,4,5,0,5,3,1,27.08,36,4724
5,1148,2,4,0,2,4,0,6.5,19,65529
5,1061,2,2,0,5,5,1,5.75,21,6296
5,1092,0,2,0,4,2,0,15.25,14,57081
5,1050,0,2,0,4,5,0,14.92,36,69244
5,1102,0,5,0,4,1,1,14.17,39,4792
3,270,4,2,0,3,2,1,6.83,13,6977
1,557,5,2,0,5,3,0,5.58,12,45693
4,922,2,1,0,1,1,1,26.33,31,5550
2,649,4,0,0,5,5,1,7.58,29,5888
5,1131,5,5,0,2,3,1,21.92,46,4414
2,765,3,5,2,5,0,1,1.25,21,1776
5,1056,0,4,0,5,5,0,14.08,12,74956
5,1064,0,2,0,2,3,0,26.08,15,56588
5,1112,2,2,0,4,5,1,16.33,38,5857
1,523,3,1,1,5,4,1,15.83,14,12118
3,49,2,1,2,1,5,1,2.42,31,2410
5,1089,5,1,1,2,1,1,9.33,32,8130
1,502,0,1,0,5,2,0,17.42,26,39847
1,601,5,1,2,4,2,1,2.25,40,2464
3,294,2,4,2,0,5,1,2.17,37,3001
5,1062,0,2,0,5,5,0,27.17,3,78988
5,1095,0,1,0,5,2,1,15.25,24,4111
1,571,5,0,2,2,2,1,2.25,6,5943
1,592,5,5,2,5,4,1,2.75,22,4633
5,1079,1,4,0,5,3,0,10.17,25,79099
3,79,2,1,0,0,0,1,6.58,3,11258
1,524,2,4,0,5,5,0,15.75,20,41113
5,1063,2,0,2,2,0,1,2.75,30,4501
5,1034,4,1,0,5,1,1,13.08,8,14620
5,1095,0,1,0,0,2,0,7.42,9,54841
5,1038,4,2,0,4,3,1,14.92,2,14154
5,1043,4,4,0,5,2,0,13.33,7,97905
2,753,1,5,0,1,4,1,8.42,26,10738
5,1047,4,2,0,1,3,1,14.25,21,7572
1,464,4,4,0,5,1,0,13.17,38,55983
1,549,5,4,2,4,0,1,1.67,1,5103
3,286,4,5,0,4,0,1,11.25,42,3465
