airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Economy,13.58,18,6461
Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Chennai,Economy,33.67,17,19040
Indigo,6E-6219,Chennai,Morning,two_or_more,Night,Hyderabad,Economy,14.17,4,8906
Air_India,AI-637,Mumbai,Evening,two_or_more,Morning,Chennai,Economy,14.33,33,6983
Vistara,UK-802,Bangalore,Evening,one,Evening,Hyderabad,Business,22.17,7,56588
Indigo,6E-6339,Bangalore,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.33,28,1714
Air_India,AI-877,Delhi,Morning,one,Afternoon,Hyderabad,Economy,25.42,39,5399
Air_India,AI-610,Bangalore,Evening,one,Morning,Chennai,Business,15.75,48,43865
Vistara,UK-866,Bangalore,Night,one,Afternoon,Delhi,Economy,15.0,38,4111
Vistara,UK-866,Bangalore,Night,one,Night,Chennai,Economy,25.42,35,4672
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Economy,8.33,22,5037
Air_India,AI-766,Chennai,Early_Morning,one,Night,Delhi,Economy,13.92,11,14178
Indigo,6E-5012,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.92,16,3264
Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,12.17,43,4086
Vistara,UK-977,Delhi,Evening,one,Morning,Chennai,Business,16.83,1,83113
AirAsia,I5-1731,Bangalore,Night,one,Late_Night,Delhi,Economy,5.58,13,7484
Vistara,UK-774,Kolkata,Night,one,Evening,Bangalore,Economy,21.17,42,6195
AirAsia,I5-1543,Hyderabad,Afternoon,one,Late_Night,Mumbai,Economy,10.25,31,2250
Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,Economy,17.33,31,5232
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Business,9.58,46,69168
Air_India,AI-770,Kolkata,Night,one,Afternoon,Mumbai,Economy,19.33,43,6179
Air_India,AI-541,Hyderabad,Evening,one,Morning,Bangalore,Economy,16.67,39,5894
AirAsia,I5-510,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.25,13,4454
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Business,15.5,18,61873
Vistara,UK-894,Hyderabad,Evening,zero,Evening,Bangalore,Economy,1.0,11,4453
SpiceJet,SG-8411,Delhi,Evening,one,Morning,Bangalore,Economy,13.5,41,6427
AirAsia,I5-2473,Kolkata,Morning,one,Night,Mumbai,Economy,10.75,20,3727
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,22,4590
Air_India,AI-663,Mumbai,Afternoon,one,Night,Bangalore,Economy,9.08,44,4200
Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Economy,12.33,8,11919
Vistara,UK-776,Kolkata,Evening,one,Late_Night,Delhi,Business,7.33,36,53743
AirAsia,I5-5204,Bangalore,Early_Morning,zero,Early_Morning,Chennai,Economy,0.92,31,1603
Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,41,5227
Indigo,6E-943,Delhi,Afternoon,one,Evening,Chennai,Economy,5.33,48,4729
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Business,2.25,22,36712
GO_FIRST,G8-390,Mumbai,Early_Morning,one,Night,Kolkata,Economy,16.42,24,5228
Air_India,AI-643,Mumbai,Afternoon,one,Evening,Delhi,Economy,26.17,27,4095
Air_India,AI-770,Kolkata,Night,one,Night,Hyderabad,Economy,27.08,36,4724
